,State,Year,Quarter,District,Reg_Users,App_Opens
88,Andhra Pradesh,2018,3,visakhapatnam district,769096,0
89,Andhra Pradesh,2018,3,prakasam district,314899,0
90,Andhra Pradesh,2018,3,anantapur district,405855,0
91,Andhra Pradesh,2018,3,kurnool district,394311,0
92,Andhra Pradesh,2018,3,guntur district,518931,0
93,Andhra Pradesh,2018,3,krishna district,537086,0
94,Andhra Pradesh,2018,3,spsr nellore district,322446,0
95,Andhra Pradesh,2018,3,vizianagaram district,203655,0
96,Andhra Pradesh,2018,3,ysr district,308391,0
97,Andhra Pradesh,2018,3,west godavari district,349782,0
98,Andhra Pradesh,2018,3,chittoor district,515727,0
99,Andhra Pradesh,2018,4,east godavari district,694455,0
100,Andhra Pradesh,2018,4,srikakulam district,284874,0
101,Andhra Pradesh,2018,4,visakhapatnam district,978288,0
102,Andhra Pradesh,2018,4,prakasam district,394962,0
103,Andhra Pradesh,2018,4,anantapur district,510892,0
104,Andhra Pradesh,2018,4,kurnool district,498582,0
105,Andhra Pradesh,2018,4,guntur district,659552,0
106,Andhra Pradesh,2018,4,krishna district,682479,0
107,Andhra Pradesh,2018,4,spsr nellore district,407495,0
108,Andhra Pradesh,2018,4,vizianagaram district,257824,0
109,Andhra Pradesh,2018,4,ysr district,387058,0
110,Andhra Pradesh,2018,4,west godavari district,435668,0
111,Andhra Pradesh,2018,4,chittoor district,665280,0
112,Andhra Pradesh,2019,1,east godavari district,839277,0
113,Andhra Pradesh,2019,1,srikakulam district,345775,0
114,Andhra Pradesh,2019,1,visakhapatnam district,1174517,0
115,Andhra Pradesh,2019,1,prakasam district,474260,0
116,Andhra Pradesh,2019,1,anantapur district,612162,0
117,Andhra Pradesh,2019,1,kurnool district,599422,0
118,Andhra Pradesh,2019,1,guntur district,802394,0
119,Andhra Pradesh,2019,1,krishna district,833694,0
120,Andhra Pradesh,2019,1,spsr nellore district,491908,0
121,Andhra Pradesh,2019,1,vizianagaram district,313334,0
122,Andhra Pradesh,2019,1,ysr district,460590,0
123,Andhra Pradesh,2019,1,west godavari district,523372,0
124,Andhra Pradesh,2019,1,chittoor district,812314,0
125,Andhra Pradesh,2019,2,east godavari district,945181,7156762
126,Andhra Pradesh,2019,2,srikakulam district,392764,3230330
127,Andhra Pradesh,2019,2,visakhapatnam district,1318740,13681907
128,Andhra Pradesh,2019,2,prakasam district,539462,4488365
129,Andhra Pradesh,2019,2,anantapur district,695114,6056591
130,Andhra Pradesh,2019,2,kurnool district,680118,6240480
131,Andhra Pradesh,2019,2,guntur district,915256,7268875
132,Andhra Pradesh,2019,2,krishna district,952300,7822632
133,Andhra Pradesh,2019,2,spsr nellore district,558303,4774473
134,Andhra Pradesh,2019,2,vizianagaram district,355058,3541678
135,Andhra Pradesh,2019,2,ysr district,519031,4345848
136,Andhra Pradesh,2019,2,west godavari district,592185,3853094
137,Andhra Pradesh,2019,2,chittoor district,925491,8914216
138,Andhra Pradesh,2019,3,east godavari district,1057167,28275322
139,Andhra Pradesh,2019,3,srikakulam district,437939,11813195
140,Andhra Pradesh,2019,3,visakhapatnam district,1460464,54836001
141,Andhra Pradesh,2019,3,prakasam district,598568,16267041
142,Andhra Pradesh,2019,3,anantapur district,773656,22845084
143,Andhra Pradesh,2019,3,kurnool district,755024,22827473
144,Andhra Pradesh,2019,3,guntur district,1026418,28477132
145,Andhra Pradesh,2019,3,krishna district,1066546,30077671
146,Andhra Pradesh,2019,3,spsr nellore district,619592,17768733
147,Andhra Pradesh,2019,3,vizianagaram district,394375,13065845
148,Andhra Pradesh,2019,3,ysr district,574109,15833900
149,Andhra Pradesh,2019,3,west godavari district,662102,14227407
150,Andhra Pradesh,2019,3,chittoor district,1032733,34638738
151,Andhra Pradesh,2019,4,east godavari district,1195228,38299189
152,Andhra Pradesh,2019,4,srikakulam district,496266,16353822
153,Andhra Pradesh,2019,4,visakhapatnam district,1620235,70749983
154,Andhra Pradesh,2019,4,prakasam district,673522,21639748
155,Andhra Pradesh,2019,4,anantapur district,873033,30278539
156,Andhra Pradesh,2019,4,kurnool district,846885,29676997
157,Andhra Pradesh,2019,4,guntur district,1158708,37846179
158,Andhra Pradesh,2019,4,krishna district,1199971,39407473
159,Andhra Pradesh,2019,4,spsr nellore district,697154,23608360
160,Andhra Pradesh,2019,4,vizianagaram district,443810,17515311
161,Andhra Pradesh,2019,4,ysr district,646642,21543798
162,Andhra Pradesh,2019,4,west godavari district,750078,19393528
163,Andhra Pradesh,2019,4,chittoor district,1156351,44888591
164,Andhra Pradesh,2020,1,east godavari district,1329664,46142746
165,Andhra Pradesh,2020,1,srikakulam district,552007,20975989
166,Andhra Pradesh,2020,1,visakhapatnam district,1763581,77558624
167,Andhra Pradesh,2020,1,prakasam district,748655,26870693
168,Andhra Pradesh,2020,1,anantapur district,971850,36900103
169,Andhra Pradesh,2020,1,kurnool district,936293,34198350
170,Andhra Pradesh,2020,1,guntur district,1289678,45282758
171,Andhra Pradesh,2020,1,krishna district,1331602,46079408
172,Andhra Pradesh,2020,1,spsr nellore district,775440,28879364
173,Andhra Pradesh,2020,1,vizianagaram district,490683,21562104
174,Andhra Pradesh,2020,1,ysr district,717865,26166193
175,Andhra Pradesh,2020,1,west godavari district,843835,24542868
176,Andhra Pradesh,2020,1,chittoor district,1270907,51354573
177,Andhra Pradesh,2020,2,east godavari district,1459116,45884498
178,Andhra Pradesh,2020,2,srikakulam district,608002,23808009
179,Andhra Pradesh,2020,2,visakhapatnam district,1904719,69684456
180,Andhra Pradesh,2020,2,prakasam district,830709,32255276
181,Andhra Pradesh,2020,2,anantapur district,1076953,39704703
182,Andhra Pradesh,2020,2,kurnool district,1035093,36268390
183,Andhra Pradesh,2020,2,guntur district,1426271,44267596
184,Andhra Pradesh,2020,2,krishna district,1459041,41234166
185,Andhra Pradesh,2020,2,spsr nellore district,854459,30816403
186,Andhra Pradesh,2020,2,vizianagaram district,537798,24370380
187,Andhra Pradesh,2020,2,ysr district,796769,29644037
188,Andhra Pradesh,2020,2,west godavari district,944829,26583613
189,Andhra Pradesh,2020,2,chittoor district,1385916,49820171
190,Andhra Pradesh,2020,3,east godavari district,1601940,64292857
191,Andhra Pradesh,2020,3,srikakulam district,667858,31794753
192,Andhra Pradesh,2020,3,visakhapatnam district,2058346,102589371
193,Andhra Pradesh,2020,3,prakasam district,915240,44970519
194,Andhra Pradesh,2020,3,anantapur district,1186851,55714787
195,Andhra Pradesh,2020,3,kurnool district,1132240,49164718
196,Andhra Pradesh,2020,3,guntur district,1567595,62427501
197,Andhra Pradesh,2020,3,krishna district,1599289,61028114
198,Andhra Pradesh,2020,3,spsr nellore district,937176,43951448
199,Andhra Pradesh,2020,3,vizianagaram district,587784,31199437
200,Andhra Pradesh,2020,3,ysr district,877909,41578067
201,Andhra Pradesh,2020,3,west godavari district,1053674,38126238
202,Andhra Pradesh,2020,3,chittoor district,1506503,69462572
203,Andhra Pradesh,2020,4,east godavari district,1746280,82605352
204,Andhra Pradesh,2020,4,srikakulam district,726761,36770992
205,Andhra Pradesh,2020,4,visakhapatnam district,2209658,124730170
206,Andhra Pradesh,2020,4,prakasam district,999462,52839846
207,Andhra Pradesh,2020,4,anantapur district,1295872,69562398
208,Andhra Pradesh,2020,4,kurnool district,1230466,60615045
209,Andhra Pradesh,2020,4,guntur district,1712940,81291172
210,Andhra Pradesh,2020,4,krishna district,1744028,81787771
211,Andhra Pradesh,2020,4,spsr nellore district,1022944,54765443
212,Andhra Pradesh,2020,4,vizianagaram district,634462,35110885
213,Andhra Pradesh,2020,4,ysr district,959182,49596303
214,Andhra Pradesh,2020,4,west godavari district,1163179,51170162
215,Andhra Pradesh,2020,4,chittoor district,1631331,88232999
216,Andhra Pradesh,2021,1,east godavari district,1878769,91478749
217,Andhra Pradesh,2021,1,srikakulam district,782604,40590058
218,Andhra Pradesh,2021,1,visakhapatnam district,2368081,135908324
219,Andhra Pradesh,2021,1,prakasam district,1075936,56911479
220,Andhra Pradesh,2021,1,anantapur district,1394849,73375049
221,Andhra Pradesh,2021,1,kurnool district,1323411,65326230
222,Andhra Pradesh,2021,1,guntur district,1843237,92731167
223,Andhra Pradesh,2021,1,krishna district,1876458,92941553
224,Andhra Pradesh,2021,1,spsr nellore district,1100541,60691988
225,Andhra Pradesh,2021,1,vizianagaram district,681621,37752539
226,Andhra Pradesh,2021,1,ysr district,1032689,53525815
227,Andhra Pradesh,2021,1,west godavari district,1254117,57392671
228,Andhra Pradesh,2021,1,chittoor district,1751420,99083825
229,Andhra Pradesh,2021,2,east godavari district,2006272,84705076
230,Andhra Pradesh,2021,2,srikakulam district,837958,43740255
231,Andhra Pradesh,2021,2,visakhapatnam district,2526830,114313154
232,Andhra Pradesh,2021,2,prakasam district,1151232,76850749
233,Andhra Pradesh,2021,2,anantapur district,1492738,104568606
234,Andhra Pradesh,2021,2,kurnool district,1415585,81894678
235,Andhra Pradesh,2021,2,guntur district,1968681,88248064
236,Andhra Pradesh,2021,2,krishna district,2002662,85771678
237,Andhra Pradesh,2021,2,spsr nellore district,1176334,74049216
238,Andhra Pradesh,2021,2,vizianagaram district,729509,42684475
239,Andhra Pradesh,2021,2,ysr district,1103004,72255265
240,Andhra Pradesh,2021,2,west godavari district,1339377,65118788
241,Andhra Pradesh,2021,2,chittoor district,1870723,110505432
242,Andhra Pradesh,2021,3,east godavari district,2150622,103626560
243,Andhra Pradesh,2021,3,srikakulam district,902008,48622126
244,Andhra Pradesh,2021,3,visakhapatnam district,2707931,139540800
245,Andhra Pradesh,2021,3,prakasam district,1239147,91533813
246,Andhra Pradesh,2021,3,anantapur district,1606735,124985545
247,Andhra Pradesh,2021,3,kurnool district,1522196,101210508
248,Andhra Pradesh,2021,3,guntur district,2110878,106621413
249,Andhra Pradesh,2021,3,krishna district,2145423,104358295
250,Andhra Pradesh,2021,3,spsr nellore district,1263550,90102349
251,Andhra Pradesh,2021,3,vizianagaram district,784444,46277311
252,Andhra Pradesh,2021,3,ysr district,1183377,86369956
253,Andhra Pradesh,2021,3,west godavari district,1436576,80244808
254,Andhra Pradesh,2021,3,chittoor district,2007011,135043395
255,Andhra Pradesh,2021,4,east godavari district,2294347,142536856
256,Andhra Pradesh,2021,4,srikakulam district,965335,61654215
257,Andhra Pradesh,2021,4,visakhapatnam district,2888774,188757640
258,Andhra Pradesh,2021,4,prakasam district,1325728,86410317
259,Andhra Pradesh,2021,4,anantapur district,1719437,120768682
260,Andhra Pradesh,2021,4,kurnool district,1628242,97379271
261,Andhra Pradesh,2021,4,guntur district,2252443,130920743
262,Andhra Pradesh,2021,4,krishna district,2288148,134436469
263,Andhra Pradesh,2021,4,spsr nellore district,1349290,90814672
264,Andhra Pradesh,2021,4,vizianagaram district,839606,56101822
265,Andhra Pradesh,2021,4,ysr district,1262963,83534122
266,Andhra Pradesh,2021,4,west godavari district,1532898,100007280
267,Andhra Pradesh,2021,4,chittoor district,2141818,154395512
268,Andhra Pradesh,2022,1,east godavari district,2432305,87134562
269,Andhra Pradesh,2022,1,srikakulam district,1027283,46691467
270,Andhra Pradesh,2022,1,visakhapatnam district,3061324,88803090
271,Andhra Pradesh,2022,1,prakasam district,1408929,104851997
272,Andhra Pradesh,2022,1,anantapur district,1827094,155792533
273,Andhra Pradesh,2022,1,kurnool district,1729513,119653214
274,Andhra Pradesh,2022,1,guntur district,2387051,88844052
275,Andhra Pradesh,2022,1,krishna district,2423373,85871644
276,Andhra Pradesh,2022,1,spsr nellore district,1431664,101671767
277,Andhra Pradesh,2022,1,vizianagaram district,892889,44804002
278,Andhra Pradesh,2022,1,ysr district,1339782,98878499
279,Andhra Pradesh,2022,1,west godavari district,1626039,87642475
280,Andhra Pradesh,2022,1,chittoor district,2270705,144146671
281,Andhra Pradesh,2022,2,east godavari district,2564165,93383888
282,Andhra Pradesh,2022,2,srikakulam district,1086164,51087942
283,Andhra Pradesh,2022,2,visakhapatnam district,3226029,93552701
284,Andhra Pradesh,2022,2,prakasam district,1487589,108172758
285,Andhra Pradesh,2022,2,anantapur district,1928213,181499094
286,Andhra Pradesh,2022,2,kurnool district,1825280,136447455
287,Andhra Pradesh,2022,2,guntur district,2514794,91997209
288,Andhra Pradesh,2022,2,krishna district,2552107,95341487
289,Andhra Pradesh,2022,2,spsr nellore district,1509927,108755384
290,Andhra Pradesh,2022,2,vizianagaram district,943242,50230853
291,Andhra Pradesh,2022,2,ysr district,1412848,106157470
292,Andhra Pradesh,2022,2,west godavari district,1714357,103338893
293,Andhra Pradesh,2022,2,chittoor district,2392549,158771722
294,Andhra Pradesh,2022,3,east godavari district,2702234,85780890
295,Andhra Pradesh,2022,3,srikakulam district,1147016,46323107
296,Andhra Pradesh,2022,3,visakhapatnam district,3397514,87888969
297,Andhra Pradesh,2022,3,prakasam district,1567520,114185009
298,Andhra Pradesh,2022,3,anantapur district,2030824,181038520
299,Andhra Pradesh,2022,3,kurnool district,1924127,143715547
300,Andhra Pradesh,2022,3,guntur district,2647100,91146114
301,Andhra Pradesh,2022,3,krishna district,2685215,86220959
302,Andhra Pradesh,2022,3,spsr nellore district,1588875,105928407
303,Andhra Pradesh,2022,3,vizianagaram district,995141,46767889
304,Andhra Pradesh,2022,3,ysr district,1487140,107976611
305,Andhra Pradesh,2022,3,west godavari district,1805967,97509407
306,Andhra Pradesh,2022,3,chittoor district,2517657,162524274
307,Andhra Pradesh,2022,4,east godavari district,2835087,173720880
308,Andhra Pradesh,2022,4,srikakulam district,1204785,72666058
309,Andhra Pradesh,2022,4,visakhapatnam district,3566854,208604256
310,Andhra Pradesh,2022,4,prakasam district,1642503,94432083
311,Andhra Pradesh,2022,4,anantapur district,2128066,136685634
312,Andhra Pradesh,2022,4,kurnool district,2018290,105333688
313,Andhra Pradesh,2022,4,guntur district,2774365,144773169
314,Andhra Pradesh,2022,4,krishna district,2813645,156902257
315,Andhra Pradesh,2022,4,spsr nellore district,1663684,103101986
316,Andhra Pradesh,2022,4,vizianagaram district,1044490,64406405
317,Andhra Pradesh,2022,4,ysr district,1556901,93975668
318,Andhra Pradesh,2022,4,west godavari district,1893310,129116752
319,Andhra Pradesh,2022,4,chittoor district,2636036,189655966
320,Arunanchal Pradesh,2018,1,lower subansiri district,498,0
321,Arunanchal Pradesh,2018,1,tirap district,557,0
322,Arunanchal Pradesh,2018,1,papum pare district,7649,0
323,Arunanchal Pradesh,2018,1,anjaw district,278,0
324,Arunanchal Pradesh,2018,1,lower siang district,270,0
325,Arunanchal Pradesh,2018,1,dibang valley district,66,0
326,Arunanchal Pradesh,2018,1,west kameng district,2202,0
327,Arunanchal Pradesh,2018,1,shi yomi district,49,0
328,Arunanchal Pradesh,2018,1,east kameng district,222,0
329,Arunanchal Pradesh,2018,1,lohit district,1207,0
330,Arunanchal Pradesh,2018,1,lepa rada district,210,0
331,Arunanchal Pradesh,2018,1,lower dibang valley district,601,0
332,Arunanchal Pradesh,2018,1,longding district,256,0
333,Arunanchal Pradesh,2018,1,west siang district,846,0
334,Arunanchal Pradesh,2018,1,kamle district,22,0
335,Arunanchal Pradesh,2018,1,upper siang district,301,0
336,Arunanchal Pradesh,2018,1,kurung kumey district,97,0
337,Arunanchal Pradesh,2018,1,siang district,192,0
338,Arunanchal Pradesh,2018,1,kra daadi district,88,0
339,Arunanchal Pradesh,2018,1,changlang district,1208,0
340,Arunanchal Pradesh,2018,1,pakke kessang district,39,0
341,Arunanchal Pradesh,2018,1,east siang district,1803,0
342,Arunanchal Pradesh,2018,1,upper subansiri district,572,0
343,Arunanchal Pradesh,2018,1,tawang district,1525,0
344,Arunanchal Pradesh,2018,1,namsai district,737,0
345,Arunanchal Pradesh,2018,2,lower subansiri district,724,0
346,Arunanchal Pradesh,2018,2,tirap district,856,0
347,Arunanchal Pradesh,2018,2,papum pare district,11418,0
348,Arunanchal Pradesh,2018,2,anjaw district,410,0
349,Arunanchal Pradesh,2018,2,lower siang district,494,0
350,Arunanchal Pradesh,2018,2,dibang valley district,112,0
351,Arunanchal Pradesh,2018,2,west kameng district,3442,0
352,Arunanchal Pradesh,2018,2,shi yomi district,80,0
353,Arunanchal Pradesh,2018,2,east kameng district,343,0
354,Arunanchal Pradesh,2018,2,lohit district,1898,0
355,Arunanchal Pradesh,2018,2,lepa rada district,318,0
356,Arunanchal Pradesh,2018,2,lower dibang valley district,893,0
357,Arunanchal Pradesh,2018,2,longding district,412,0
358,Arunanchal Pradesh,2018,2,west siang district,1224,0
359,Arunanchal Pradesh,2018,2,kamle district,37,0
360,Arunanchal Pradesh,2018,2,upper siang district,481,0
361,Arunanchal Pradesh,2018,2,kurung kumey district,153,0
362,Arunanchal Pradesh,2018,2,siang district,293,0
363,Arunanchal Pradesh,2018,2,kra daadi district,144,0
364,Arunanchal Pradesh,2018,2,changlang district,2014,0
365,Arunanchal Pradesh,2018,2,pakke kessang district,66,0
366,Arunanchal Pradesh,2018,2,east siang district,2646,0
367,Arunanchal Pradesh,2018,2,upper subansiri district,883,0
368,Arunanchal Pradesh,2018,2,tawang district,2266,0
369,Arunanchal Pradesh,2018,2,namsai district,1276,0
370,Arunanchal Pradesh,2018,3,lower subansiri district,1033,0
371,Arunanchal Pradesh,2018,3,tirap district,1226,0
372,Arunanchal Pradesh,2018,3,papum pare district,16009,0
373,Arunanchal Pradesh,2018,3,anjaw district,542,0
374,Arunanchal Pradesh,2018,3,lower siang district,717,0
375,Arunanchal Pradesh,2018,3,dibang valley district,145,0
376,Arunanchal Pradesh,2018,3,west kameng district,4765,0
377,Arunanchal Pradesh,2018,3,shi yomi district,118,0
378,Arunanchal Pradesh,2018,3,east kameng district,521,0
379,Arunanchal Pradesh,2018,3,lohit district,2612,0
380,Arunanchal Pradesh,2018,3,lepa rada district,431,0
381,Arunanchal Pradesh,2018,3,lower dibang valley district,1286,0
382,Arunanchal Pradesh,2018,3,longding district,644,0
383,Arunanchal Pradesh,2018,3,west siang district,1652,0
384,Arunanchal Pradesh,2018,3,kamle district,65,0
385,Arunanchal Pradesh,2018,3,upper siang district,646,0
386,Arunanchal Pradesh,2018,3,kurung kumey district,222,0
387,Arunanchal Pradesh,2018,3,siang district,373,0
388,Arunanchal Pradesh,2018,3,kra daadi district,190,0
389,Arunanchal Pradesh,2018,3,changlang district,2889,0
390,Arunanchal Pradesh,2018,3,pakke kessang district,103,0
391,Arunanchal Pradesh,2018,3,east siang district,3590,0
392,Arunanchal Pradesh,2018,3,upper subansiri district,1169,0
393,Arunanchal Pradesh,2018,3,tawang district,3112,0
394,Arunanchal Pradesh,2018,3,namsai district,1862,0
395,Arunanchal Pradesh,2018,4,lower subansiri district,1459,0
396,Arunanchal Pradesh,2018,4,tirap district,1684,0
397,Arunanchal Pradesh,2018,4,papum pare district,21342,0
398,Arunanchal Pradesh,2018,4,anjaw district,744,0
399,Arunanchal Pradesh,2018,4,lower siang district,936,0
400,Arunanchal Pradesh,2018,4,dibang valley district,178,0
401,Arunanchal Pradesh,2018,4,west kameng district,6492,0
402,Arunanchal Pradesh,2018,4,shi yomi district,144,0
403,Arunanchal Pradesh,2018,4,east kameng district,691,0
404,Arunanchal Pradesh,2018,4,lohit district,3588,0
405,Arunanchal Pradesh,2018,4,lepa rada district,548,0
406,Arunanchal Pradesh,2018,4,lower dibang valley district,1827,0
407,Arunanchal Pradesh,2018,4,longding district,923,0
408,Arunanchal Pradesh,2018,4,west siang district,2117,0
409,Arunanchal Pradesh,2018,4,kamle district,109,0
410,Arunanchal Pradesh,2018,4,upper siang district,868,0
411,Arunanchal Pradesh,2018,4,kurung kumey district,321,0
412,Arunanchal Pradesh,2018,4,siang district,483,0
413,Arunanchal Pradesh,2018,4,kra daadi district,255,0
414,Arunanchal Pradesh,2018,4,changlang district,4036,0
415,Arunanchal Pradesh,2018,4,pakke kessang district,138,0
416,Arunanchal Pradesh,2018,4,east siang district,4813,0
417,Arunanchal Pradesh,2018,4,upper subansiri district,1576,0
418,Arunanchal Pradesh,2018,4,tawang district,4085,0
419,Arunanchal Pradesh,2018,4,namsai district,2495,0
420,Arunanchal Pradesh,2019,1,lower subansiri district,1879,0
421,Arunanchal Pradesh,2019,1,tirap district,2082,0
422,Arunanchal Pradesh,2019,1,papum pare district,26298,0
423,Arunanchal Pradesh,2019,1,anjaw district,934,0
424,Arunanchal Pradesh,2019,1,lower siang district,1123,0
425,Arunanchal Pradesh,2019,1,dibang valley district,211,0
426,Arunanchal Pradesh,2019,1,west kameng district,8115,0
427,Arunanchal Pradesh,2019,1,shi yomi district,186,0
428,Arunanchal Pradesh,2019,1,east kameng district,876,0
429,Arunanchal Pradesh,2019,1,lohit district,4416,0
430,Arunanchal Pradesh,2019,1,lepa rada district,710,0
431,Arunanchal Pradesh,2019,1,lower dibang valley district,2314,0
432,Arunanchal Pradesh,2019,1,longding district,1152,0
433,Arunanchal Pradesh,2019,1,west siang district,2656,0
434,Arunanchal Pradesh,2019,1,kamle district,141,0
435,Arunanchal Pradesh,2019,1,upper siang district,1125,0
436,Arunanchal Pradesh,2019,1,kurung kumey district,385,0
437,Arunanchal Pradesh,2019,1,siang district,651,0
438,Arunanchal Pradesh,2019,1,kra daadi district,350,0
439,Arunanchal Pradesh,2019,1,changlang district,5210,0
440,Arunanchal Pradesh,2019,1,pakke kessang district,162,0
441,Arunanchal Pradesh,2019,1,east siang district,5899,0
442,Arunanchal Pradesh,2019,1,upper subansiri district,1906,0
443,Arunanchal Pradesh,2019,1,tawang district,5023,0
444,Arunanchal Pradesh,2019,1,namsai district,3153,0
445,Arunanchal Pradesh,2019,2,lower subansiri district,2463,11644
446,Arunanchal Pradesh,2019,2,tirap district,2697,12779
447,Arunanchal Pradesh,2019,2,papum pare district,32800,163673
448,Arunanchal Pradesh,2019,2,anjaw district,1175,4993
449,Arunanchal Pradesh,2019,2,lower siang district,1457,7737
450,Arunanchal Pradesh,2019,2,dibang valley district,241,258
451,Arunanchal Pradesh,2019,2,west kameng district,9782,73944
452,Arunanchal Pradesh,2019,2,shi yomi district,225,24
453,Arunanchal Pradesh,2019,2,east kameng district,1075,4146
454,Arunanchal Pradesh,2019,2,lohit district,5485,32550
455,Arunanchal Pradesh,2019,2,lepa rada district,903,4196
456,Arunanchal Pradesh,2019,2,lower dibang valley district,2842,12669
457,Arunanchal Pradesh,2019,2,longding district,1420,13256
458,Arunanchal Pradesh,2019,2,west siang district,3393,15972
459,Arunanchal Pradesh,2019,2,kamle district,212,972
460,Arunanchal Pradesh,2019,2,upper siang district,1372,2710
461,Arunanchal Pradesh,2019,2,kurung kumey district,481,2171
462,Arunanchal Pradesh,2019,2,siang district,831,3209
463,Arunanchal Pradesh,2019,2,kra daadi district,440,2639
464,Arunanchal Pradesh,2019,2,changlang district,6884,37725
465,Arunanchal Pradesh,2019,2,pakke kessang district,211,1237
466,Arunanchal Pradesh,2019,2,east siang district,7319,34596
467,Arunanchal Pradesh,2019,2,upper subansiri district,2355,9043
468,Arunanchal Pradesh,2019,2,tawang district,5908,32103
469,Arunanchal Pradesh,2019,2,namsai district,3914,18627
470,Arunanchal Pradesh,2019,3,lower subansiri district,2928,42877
471,Arunanchal Pradesh,2019,3,tirap district,3099,49222
472,Arunanchal Pradesh,2019,3,papum pare district,38845,582435
473,Arunanchal Pradesh,2019,3,anjaw district,1358,19509
474,Arunanchal Pradesh,2019,3,lower siang district,1689,25736
475,Arunanchal Pradesh,2019,3,dibang valley district,271,1436
476,Arunanchal Pradesh,2019,3,west kameng district,11186,260068
477,Arunanchal Pradesh,2019,3,shi yomi district,239,158
478,Arunanchal Pradesh,2019,3,east kameng district,1304,19974
479,Arunanchal Pradesh,2019,3,lohit district,6421,112322
480,Arunanchal Pradesh,2019,3,lepa rada district,1064,13695
481,Arunanchal Pradesh,2019,3,lower dibang valley district,3398,43057
482,Arunanchal Pradesh,2019,3,longding district,1634,46571
483,Arunanchal Pradesh,2019,3,west siang district,4101,64241
484,Arunanchal Pradesh,2019,3,kamle district,258,3686
485,Arunanchal Pradesh,2019,3,upper siang district,1486,8960
486,Arunanchal Pradesh,2019,3,kurung kumey district,572,8396
487,Arunanchal Pradesh,2019,3,siang district,948,13437
488,Arunanchal Pradesh,2019,3,kra daadi district,524,11363
489,Arunanchal Pradesh,2019,3,changlang district,8145,139098
490,Arunanchal Pradesh,2019,3,pakke kessang district,244,5099
491,Arunanchal Pradesh,2019,3,east siang district,8571,118071
492,Arunanchal Pradesh,2019,3,upper subansiri district,2748,35114
493,Arunanchal Pradesh,2019,3,tawang district,6553,114907
494,Arunanchal Pradesh,2019,3,namsai district,4563,72268
495,Arunanchal Pradesh,2019,4,lower subansiri district,3564,53396
496,Arunanchal Pradesh,2019,4,tirap district,3605,67097
497,Arunanchal Pradesh,2019,4,papum pare district,44746,670934
498,Arunanchal Pradesh,2019,4,anjaw district,1564,23729
499,Arunanchal Pradesh,2019,4,lower siang district,1921,28156
500,Arunanchal Pradesh,2019,4,dibang valley district,289,1738
501,Arunanchal Pradesh,2019,4,west kameng district,12562,313584
502,Arunanchal Pradesh,2019,4,shi yomi district,266,880
503,Arunanchal Pradesh,2019,4,east kameng district,1623,27850
504,Arunanchal Pradesh,2019,4,lohit district,7386,129353
505,Arunanchal Pradesh,2019,4,lepa rada district,1263,20798
506,Arunanchal Pradesh,2019,4,lower dibang valley district,3944,50034
507,Arunanchal Pradesh,2019,4,longding district,1847,48945
508,Arunanchal Pradesh,2019,4,west siang district,4773,70790
509,Arunanchal Pradesh,2019,4,kamle district,323,5098
510,Arunanchal Pradesh,2019,4,upper siang district,1804,26060
511,Arunanchal Pradesh,2019,4,kurung kumey district,653,7904
512,Arunanchal Pradesh,2019,4,siang district,1131,19220
513,Arunanchal Pradesh,2019,4,kra daadi district,603,13700
514,Arunanchal Pradesh,2019,4,changlang district,9662,152680
515,Arunanchal Pradesh,2019,4,pakke kessang district,296,5981
516,Arunanchal Pradesh,2019,4,east siang district,9859,132534
517,Arunanchal Pradesh,2019,4,upper subansiri district,3144,42354
518,Arunanchal Pradesh,2019,4,tawang district,7303,139898
519,Arunanchal Pradesh,2019,4,namsai district,5190,87627
520,Arunanchal Pradesh,2020,1,lower subansiri district,4351,72887
521,Arunanchal Pradesh,2020,1,tirap district,4261,76554
522,Arunanchal Pradesh,2020,1,papum pare district,51342,819599
523,Arunanchal Pradesh,2020,1,anjaw district,1747,25453
524,Arunanchal Pradesh,2020,1,lower siang district,2201,35216
525,Arunanchal Pradesh,2020,1,dibang valley district,320,2195
526,Arunanchal Pradesh,2020,1,west kameng district,13983,332479
527,Arunanchal Pradesh,2020,1,shi yomi district,290,989
528,Arunanchal Pradesh,2020,1,east kameng district,1962,37103
529,Arunanchal Pradesh,2020,1,lohit district,8454,159158
530,Arunanchal Pradesh,2020,1,lepa rada district,1532,28280
531,Arunanchal Pradesh,2020,1,lower dibang valley district,4650,71091
532,Arunanchal Pradesh,2020,1,longding district,2201,58817
533,Arunanchal Pradesh,2020,1,west siang district,5757,97255
534,Arunanchal Pradesh,2020,1,kamle district,373,7135
535,Arunanchal Pradesh,2020,1,upper siang district,2143,37600
536,Arunanchal Pradesh,2020,1,kurung kumey district,725,11471
537,Arunanchal Pradesh,2020,1,siang district,1390,24530
538,Arunanchal Pradesh,2020,1,kra daadi district,701,16770
539,Arunanchal Pradesh,2020,1,changlang district,11262,201632
540,Arunanchal Pradesh,2020,1,pakke kessang district,371,9758
541,Arunanchal Pradesh,2020,1,east siang district,11298,167166
542,Arunanchal Pradesh,2020,1,upper subansiri district,3675,56522
543,Arunanchal Pradesh,2020,1,tawang district,8048,138728
544,Arunanchal Pradesh,2020,1,namsai district,6029,109933
545,Arunanchal Pradesh,2020,2,lower subansiri district,5392,108893
546,Arunanchal Pradesh,2020,2,tirap district,5239,114770
